PCA_1,PCA_2,ntsb_no,aircraft_key,ev_date,ev_month,ev_weekday,latitude,longitude,ev_city,ev_state,ev_country,inj_tot_f,inj_tot_s,ev_highest_injury,damage,far_part,acft_category,type_fly,CICTTEvent,CICTTPhase
-0.617489651,-0.211830877,GAA15CA254,1,8/21/2015,8,Friday,264434N,0812552W,LaBelle,FL,USA,0,0,NONE,SUBS,91,AIR ,PERS,ADRM,LDG
0.160304476,-0.453626995,ERA15LA349,1,9/10/2015,9,Thursday,392116N,0741654W,Atlantic City,AO,USA,1,0,FATL,SUBS,91,AIR ,PERS,OTHR,ENR
0.283498874,-0.149428216,GAA15CA255,1,8/27/2015,8,Thursday,432348N,1111754W,Irwin,ID,USA,0,0,NONE,SUBS,91,AIR ,PERS,LALT,MNV
0.160921632,-0.529386707,ERA15FA351,1,9/11/2015,9,Friday,342035N,0781811W,Riegelwood,NC,USA,1,0,FATL,SUBS,91,AIR ,PERS,UNK,ENR
0.957837467,-0.750352624,ERA15FA352,1,9/12/2015,9,Saturday,394639N,0745130W,Atco,NJ,USA,1,0,FATL,DEST,91,AIR ,PERS,LOC-I,MNV
0.898911953,-0.139029492,ERA15FA353,1,9/12/2015,9,Saturday,362657N,0843746W,Oneida,TN,USA,1,0,FATL,DEST,91,AIR ,ASHO,SCF-PP,ICL
0.008958085,-0.28887739,CEN15CA410,1,9/9/2015,9,Wednesday,403235N,0864053W,Delphi,IN,USA,0,0,NONE,SUBS,91,AIR ,PERS,RAMP,STD
-0.754665928,1.025088574,CEN15LA411,1,9/9/2015,9,Wednesday,383422N,0900945W,Cahokia,IL,USA,0,0,NONE,SUBS,91,AIR ,INST,ARC,LDG
-0.644436809,-0.260116719,ERA15LA356,1,9/7/2015,9,Monday,410948N,0730734W,Stratford,CT,USA,0,0,NONE,SUBS,91,AIR ,PERS,RE,LDG
-0.462579216,-0.426241829,GAA15CA257,1,9/12/2015,9,Saturday,390108N,1102703W,Green River,UT,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-I,LDG
0.800160639,1.246439054,GAA15CA258,1,9/9/2015,9,Wednesday,403135N,1114518W,Draper,UT,USA,0,0,NONE,SUBS,PUBU,HELI,PUBS,EXTL,MNV
0.452475771,0.212481394,ANC15FA071,1,9/15/2015,9,Tuesday,594640N,1545504W,Iliamna,AK,USA,3,5,FATL,SUBS,91,AIR ,OWRK,LOC-I,ICL
-0.929960421,-0.24142799,GAA15CA259,1,9/6/2015,9,Sunday,423837N,1113454W,Soda Springs,ID,USA,0,0,NONE,SUBS,91,AIR ,PERS,ARC,LDG
-0.231573166,-0.366992638,GAA15CA260,1,9/11/2015,9,Friday,345621N,1043845W,Santa Rosa,NM,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-G,TOF
1.03727152,-0.591169274,ERA15FA359,1,9/16/2015,9,Wednesday,313210N,0822311W,Alma,GA,USA,5,0,FATL,DEST,91,AIR ,PERS,LOC-I,MNV
-0.620546578,-0.221733557,ERA15LA360,1,9/15/2015,9,Tuesday,413508N,0703225W,East Falmouth,MA,USA,0,0,NONE,SUBS,91,AIR ,PERS,SCF-NP,LDG
0.169833266,-0.644803944,GAA15CA261,1,9/13/2015,9,Sunday,404751N,0994517W,Lexington,NE,USA,0,0,NONE,SUBS,91,AIR ,PERS,FUEL,ENR
0.382312882,0.695621011,GAA15CA262,1,8/19/2015,8,Wednesday,453710N,1211006W,The Dalles,OR,USA,0,0,NONE,SUBS,PUBU,AIR ,FIRF,RI,TOF
-0.90549616,-0.257914157,GAA15CA263,1,9/7/2015,9,Monday,401960N,0750719W,Doylestown,PA,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-G,LDG
0.322249938,-0.513416223,ERA15FA361,1,9/18/2015,9,Friday,282826N,0823036W,Spring Hill,FL,USA,1,0,FATL,SUBS,91,AIR ,PERS,LOC-I,APR
-0.926055671,-0.247840994,GAA15CA264,1,9/18/2015,9,Friday,413534N,1090321W,Rock Springs,WY,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-G,LDG
0.376523228,-0.385757457,WPR15LA262,1,9/20/2015,9,Sunday,375130N,1213552W,Byron,CA,USA,0,0,NONE,SUBS,91,AIR ,PERS,SCF-PP,MNV
1.017294173,-0.785910631,ERA15FA362,1,9/20/2015,9,Sunday,425423N,0753944W,Morrisville,NY,USA,2,0,FATL,DEST,91,AIR ,PERS,LOC-I,MNV
-0.985655975,-0.338312731,CEN15LA417,1,9/5/2015,9,Saturday,382830N,0855950W,Pekin,IN,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-G,LDG
-0.927147239,-0.154296988,ANC15CA072,1,9/7/2015,9,Monday,640057N,1454337W,Delta Junction,AK,USA,0,0,NONE,SUBS,91,AIR ,PERS,ARC,LDG
0.653434657,0.941600299,ANC15LA073,1,9/18/2015,9,Friday,531000N,1682260W,Unalaska,AK,USA,0,0,NONE,SUBS,91,HELI,BUS ,SCF-NP,MNV
0.239914881,-0.623062287,GAA15CA267,1,9/12/2015,9,Saturday,640146N,1464949W,Delta Junction,AK,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-I,APR
-0.764221252,0.555559993,GAA15CA269,1,9/10/2015,9,Thursday,271640N,0821259W,Myakka City,FL,USA,0,0,NONE,SUBS,91,AIR ,BUS ,LOC-G,LDG
-0.896631609,-0.250780509,GAA15CA270,1,9/21/2015,9,Monday,415835N,1143927W,Jackpot,NV,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-G,LDG
0.236233648,-0.623564789,ERA15LA368,1,9/19/2015,9,Saturday,392045N,0771260W,Mount Airy,MD,USA,0,0,NONE,SUBS,91,AIR ,PERS,SCF-PP,ENR
0.221878464,-0.549160641,GAA15CA272,1,9/19/2015,9,Saturday,353439N,0790620W,Sanford,NC,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-I,TOF
-0.982717161,-0.331732504,GAA15CA273,1,9/19/2015,9,Saturday,420549N,0704027W,Marshfield,MA,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-G,LDG
-0.568488846,-0.205962206,ERA15LA372,1,8/31/2015,8,Monday,253851N,0802560W,Miami,FL,USA,0,0,NONE,SUBS,91,AIR ,PERS,SCF-NP,LDG
